id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1870,CYQK,medium_airport,Kenora Airport,49.78829956,-94.36309814,1332,,Canada,CA,Ontario,CA-ON,ON,Kenora,1,CYQK,CYQK,YQK,,,https://en.wikipedia.org/wiki/Kenora_Airport,,750,2008-06-13T14:30:04+00:00
1839,CYOS,medium_airport,Owen Sound / Billy Bishop Regional Airport,44.59030151,-80.83750153,1007,,Canada,CA,Ontario,CA-ON,ON,Owen Sound,0,CYOS,CYOS,YOS,,,https://en.wikipedia.org/wiki/Owen_Sound/Billy_Bishop_Regional_Airport,YOS,250,2010-09-24T22:33:21+00:00
1298,CND4,small_airport,Stanhope Municipal Airport,45.111255,-78.640047,1066,,Canada,CA,Ontario,CA-ON,ON,Haliburton,0,CND4,,,CND4,,https://en.wikipedia.org/wiki/Haliburton/Stanhope_Municipal_Airport,ND4,50,2024-07-12T02:10:25+00:00
2011,CZBM,medium_airport,Bromont (Roland Désourdy) Airport,45.290798,-72.741402,375,,Canada,CA,Quebec,CA-QC,QC,Bromont,0,CZBM,CZBM,ZBM,,,https://en.wikipedia.org/wiki/Roland-D%C3%A9sourdy_Airport,,250,2022-01-09T16:50:03+00:00
1312,CNJ4,small_airport,Orillia-RAMA Regional Airport,44.677656,-79.310217,725,,Canada,CA,Ontario,CA-ON,ON,Orillia,0,CNJ4,,,CNJ4,,https://en.wikipedia.org/wiki/Orillia_Airport,NJ4,50,2020-02-28T15:45:51+00:00
1947,CYWH,seaplane_base,Victoria Harbour Seaplane Base,48.423782,-123.37198,,,Canada,CA,British Columbia,CA-BC,BC,Victoria,1,CYWH,CYWH,YWH,,,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport,,625,2025-09-19T16:19:14+00:00
1662,CYAV,medium_airport,Winnipeg / St. Andrews Airport,50.0564,-97.032501,760,,Canada,CA,Manitoba,CA-MB,MB,Winnipeg/Saint Andrews,1,CYAV,CYAV,,,,https://en.wikipedia.org/wiki/Winnipeg/St._Andrews_Airport,YAV,500,2025-06-01T18:48:46+00:00
1688,CYCE,medium_airport,Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,824,,Canada,CA,Ontario,CA-ON,ON,Huron Park,0,CYCE,CYCE,YCE,CYCE,,https://en.wikipedia.org/wiki/Centralia/Huron_Airpark,"RCAF Station Centralia, Huron Airpark",250,2022-03-18T12:38:33+00:00
1971,CYXZ,medium_airport,Wawa Airport,47.96670151,-84.78669739,942,,Canada,CA,Ontario,CA-ON,ON,Wawa,0,CYXZ,CYXZ,YXZ,,,https://en.wikipedia.org/wiki/Wawa_Airport,,250,2008-06-13T14:30:04+00:00
1959,CYXJ,medium_airport,Fort St John / North Peace Regional Airport,56.238098,-120.739998,2280,,Canada,CA,British Columbia,CA-BC,BC,Fort Saint John,1,CYXJ,CYXJ,YXJ,,,https://en.wikipedia.org/wiki/Fort_St._John_Airport,BZ3,750,2023-08-29T13:09:17+00:00
